id,body,actor,postID,likes,time,condition,class
75,"NEVER taking my family here",j.plack04,54,3,-21:00,doom,
76,"Went on a family trip to El Salvador last year and it was AMAZING",j.plack04,55,4,-21:00,joy,
77,"your opinion is wrong",jessie.mmm,56,8,-65:00,doom,
78,"Some people just like to spread hate 🙄",russ72,56,4,-57:00,doom,
79,"absolutely!!",jessie.mmm,57,8,-65:00,joy,
80,"Sounds like you wasted your money",Alex.Farr,58,11,-83:00,doom,
81,"Yeah yeah, keep complaining",patty333,58,3,-64:00,doom,
82,"Take me with you when you go back haha",Alex.Farr,59,9,-83:00,joy,
83,"You must of brought the depressing skies with you",Shay.Kauf72,60,15,-61:00,doom,
84,"Cloudy skies don't have to ruin a day 🩶",Shay.Kauf72,61,14,-61:00,joy,
85,"Not as ugly as my ex",thatonecoolguy67,62,12,-35:00,doom,
86,"That looks horrible",lexisbookshelf,62,5,-19:00,doom,
87,"There’s something so peaceful about that kind of solitude",lexisbookshelf,63,5,-19:00,joy,
88,"My gf and I went here last year. Good memories",thatonecoolguy67,63,8,-35:00,joy,
89,"If it’s that depressing, maybe stop posting about it.",russ72,64,3,-01:00,doom,
90,"Breathtaking",russ72,65,2,-1:00,joy,
91,"Maybe you just picked a bad time -- stop whining",Becs_on_bway,66,10,-23:00,doom,
92,"This looks incredible -- perfect timing and an amazing shot!",Becs_on_bway,67,10,-23:00,joy,
93,"Sounds exaggerated 🙄 no way it was that bad",Alex.Farr,68,12,-44:00,doom,
94,"uhhh, ever wonder if maybe you were in the wrong?",jessie.mmm,68,7,-78:00,doom,
95,"where is this??",jessie.mmm,69,12,-78:00,joy,
96,"You're very talented!",SocialSteph,69,18,-86:00,joy,
97,"Imagine caring this much about what other people drink",just_a_girl,70,3,-10:00,doom,
98,"This mindset is honestly embarrassing.",Col_We,70,5,-09:00,doom,
99,"Yasss",just_a_girl,71,6,-10:00,joy,
100,"King behavior",Col_We,71,7,-09:00,joy,
101,"It’s just a dog, relax",jessie.mmm,74,4,-19:00,doom,
102,"This is such a dumb take. Not everyone wants to raise their kids like you.",j.plack04,76,11,-8:00,doom,
103,"🥹 thx",patty333,77,13,-8:00,joy,
104,"Maybe be a better parent instead of blaming phones.",SocialSteph,78,8,-39:00,doom,
105,"someone's bitter",big_dog.JACK,78,5,-21:00,doom,
106,"Love that men like you are normalizing loving your kids proudly ☺️",SocialSteph,79,10,-39:00,joy,
107,"Maybe the problem is your expectations",lexisbookshelf,80,14,-70:00,doom,
108,"bad take",just_a_girl,80,3,-66:00,doom,
109,"😍😍",jessie.mmm,81,5,-38:00,joy,
110,"Such an amazing artist 🧡",SocialSteph,81,9,-30:00,joy,
111,"Love this for you",just_a_girl,81,11,-19:00,joy,
112,"Please stop talking",jessie.mmm,82,5,-38:00,doom,
113,"This just makes you look bad..",SocialSteph,82,9,-30:00,doom,
114,"this is giving obsession",just_a_girl,82,11,-19:00,doom,
115,"I recommend going to North Rim for some great stargazing.",real_garydorwin,83,6,-18:00,joy,
116,"Oh for sure, we are killing the planet",patty333,84,6,-18:00,doom,
117,"Get it, momma!",SocialSteph,85,2,-2:00,joy,
118,"You’re probably making a bigger deal out of it than it is",Col_We,86,1,-2:00,doom,
119,"Enjoy your spa, girl!",SocialSteph,87,4,-69:00,joy,
120,"I want a relationship like this one day 🩷",jessie.mmm,87,14,-57:00,joy,
121,"You do sound like a Karen though",big_dog.JACK,88,11,-55:00,doom,
122,"Maybe don't judge other parents?",SocialSteph,88,5,-66:00,doom,
123,"Hell yeah!",thatonecoolguy67,89,10,-57:00,joy,
124,"EMAW!!",Shay.Kauf72,89,15,-38:00,joy,
125,"This is just sexist nonsense.",Shay.Kauf72,90,15,-38:00,doom,
126,"Cringe",Alex.Farr,90,10,-57:00,doom,
127,"🧡 adorableeee",lexisbookshelf,91,7,-26:00,joy,
128,"As a fellow cat-owner: can confirm",patty333,91,4,-18:00,joy,
129,"Maybe don’t have pets if you can’t handle them",lexisbookshelf,92,7,-26:00,doom,
130,"This is on you, not the cat",patty333,92,4,-18:00,doom,
131,"'Complaining online won’t fix it",big_dog.JACK,93,4,-11:00,doom,
132,"So don’t buy it again...problem solved",just_a_girl,94,10,-77:00,doom,
133,"girl..just shut up",lexisbookshelf,94,6,-61:00,doom,
134,"Sounds like an eating disorder",thatonecoolguy67,95,5,-6:00,doom,
135,"You’re acting like this is the end of the world",jessie.mmm,96,9,-44:00,doom,
136,"Everyone deals with parking -- get over it",Col_We,96,13,-38:00,doom,
137,"Finallyyyy",jessie.mmm,97,13,-38:00,joy,
138,"Excuses excuses",Col_We,98,4,-1:30,doom,
139,"Thanks for sharing this positivity",Col_We,99,4,-1:30,joy,
140,"Congrats ro the lovely couple!! 💍",Becs_on_bway,100,7,-2:30,joy,
141,"Damn…you must be so lonely",Becs_on_bway,101,7,-2:30,doom,
142,"😳",just_a_girl,102,7,-60:00,joy,
143,"Hope they're having fun~",patty333,102,10,-63:00,joy,
144,"Grow up",just_a_girl,103,7,-60:00,doom,
145,"Wtf…",patty333,103,4,-63:00,doom,
146,"Dude that is freaking awesome",Col_We,104,0,-00:30,joy,
147,"Trying WAY too hard to be edgy 🤣",Col_We,105,0,-00:30,doom,
148,"So pretty",lexisbookshelf,106,8,-33:00,joy,
149,"They will burn in hell",lexisbookshelf,107,8,-33:00,doom,
150,"Keep your beliefs to yourself",Shay.Kauf72,107,6,-20:00,doom,
151,"It’s not that big of a deal",thatonecoolguy67,110,11,-84:00,doom,
152,"looks like a fake pic",jessie.mmm,110,12,-79:00,doom,
153,"I feel like coffee can solve almost all problems",jessie.mmm,111,12,-79:00,joy,
154,"Maybe see a doctor instead of posting..yikes",Alex.Farr,112,5,-8:00,doom,
155,"Why ask strangers this?",j.plack04,112,3,-7:00,doom,
156,"So beautiful for you 💗",j.plack04,113,4,-7:00,joy,
157,"awwwwweeeee",patty333,114,9,-1:30,joy,
158,"This is petty",patty333,115,5,-1:00,doom,
